Inventory aging report,,,,,,,,,,Page 1 of 1,,,
,,,,,,,,,,"3/27/2026
10:44 AM",,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,0-30 (Days),31-60 (Days),61-90 (Days),91-180 (Days),180+ Prior date,,,,
Item number,Product name,Inventory unit,Configuration,On-hand quantity,P1:Quantity,P2:Quantity,P3:Quantity,P4:Quantity,P5:Quantity,,,,
1000001480,36/SCRD,Bag,MICRO POLYESTER/ MICRO VISCOSE 70:30,50.33,0.00,0.00,0.00,50.33,0.00,,,,
1000001480,36/SCRD,Bag,MP/MV 80/20 S-TWIST COMPACT,8.83,0.00,0.00,0.00,8.83,0.00,,,,
1000001480,36/SCRD,Bag,MPV 80/20 (MICRO POLY / MICRO VISCOSE ),41.33,41.33,0.00,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,NE 36/1 PV 90/10 S.S U3,"1,333.20","1,333.20",0.00,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,PV 80/20,356.00,0.00,0.00,130.00,226.00,0.00,,,,
1000001480,36/SCRD,Bag,PV 80/20 COMPACT,"1,957.79","1,571.50",386.29,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,PV 80:20 UNIT # 03,42.83,0.00,0.00,42.83,0.00,0.00,,,,
1000001480,36/SCRD,Bag,PV 90/10,3.05,3.05,0.00,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,PV 90/10 CAPITAL,"3,614.90","3,614.90",0.00,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,PV 90:10 SUPER SAIF,"9,251.02","9,251.02",0.00,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,Slub STM-P-9752,34.63,0.00,34.63,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,SPP-10 (60/40) in CVC,0.33,0.33,0.00,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,STM P-9732 SIRO SLUB PP (WHITE & BLACK 50/50 WVG,12.10,0.00,0.00,0.00,0.01,12.09,,,,
1000001480,36/SCRD,Bag,STM-P-8375 INJ-SLUB (100% Poly),82.00,82.00,0.00,0.00,0.00,0.00,,,,
1000001480,36/SCRD,Bag,VA 80:20 (VISCOSE 80% / ACRYLIC 20%),72.00,0.00,0.00,0.00,0.00,72.00,,,,
1000001520,36/DCRD,Bag,PV 80:20,0.75,0.00,0.00,0.00,0.75,0.00,,,,
1000001520,36/DCRD,Bag,PV 90:10,860.50,0.00,789.61,70.89,0.00,0.00,,,,
1000001520,36/DCRD,Bag,VA 80:20 (VISCOSE 80% / ACRYLIC 20%),2.00,0.00,0.00,0.00,2.00,0.00,,,,
1000001520,36/DCRD,Bag,VISCOSE/ POLYESTER 80:20,108.48,0.00,0.00,0.00,0.00,108.48,,,,
1000001560,38/SCRD,Bag,PV 83/17 COMPACT,"1,015.15",0.15,"1,015.00",0.00,0.00,0.00,,,,
1000001640,40/SCRD,Bag,100% ACR,6.80,0.00,6.80,0.00,0.00,0.00,,,,
1000001640,40/SCRD,Bag,100% MICRO VISCOSE FOR WEAVING,145.45,51.77,0.00,0.00,93.68,0.00,,,,
1000001640,40/SCRD,Bag,ACRYLIC/ VISCOSE 50:50 ( HIGH BULKY),805.37,0.00,1.37,0.00,0.00,804.00,,,,
1000001640,40/SCRD,Bag,AV 80/20 HB,62.88,0.00,0.00,0.00,0.00,62.88,,,,
1000001640,40/SCRD,Bag,MICRO POLY / HEMP 95/05 COMPACT,266.95,0.00,1.00,0.00,265.95,0.00,,,,
1000001640,40/SCRD,Bag,MICRO POLY/ MICRO VISCOSE 70:30,172.85,27.65,0.00,0.00,145.20,0.00,,,,
1000001640,40/SCRD,Bag,MICRO POLYESTER 85%/ 15% VISCOSE SLUB,1.90,0.00,0.00,0.00,0.00,1.90,,,,
1000001640,40/SCRD,Bag,MP/MB 70/30 MICRO COMPACT,50.00,0.00,0.00,50.00,0.00,0.00,,,,
1000001640,40/SCRD,Bag,MP/MV 80/20 MICRO SIRO COMPACT,2.00,2.00,0.00,0.00,0.00,0.00,,,,
1000001640,40/SCRD,Bag,MP/MV 80/20 SIRO MICRO (White Gold),12.00,12.00,0.00,0.00,0.00,0.00,,,,
1000001640,40/SCRD,Bag,PV 50/50 POLY INJ SLUB,120.66,0.00,0.00,0.00,0.00,120.66,,,,
1000001640,40/SCRD,Bag,PV 65:35 SLUB,14.55,0.00,0.00,0.00,14.55,0.00,,,,
1000001640,40/SCRD,Bag,PV 80/20 COMPACT,"1,366.60","1,366.60",0.00,0.00,0.00,0.00,,,,
1000001640,40/SCRD,Bag,PV 80/20 COMPACT SLUB,1.00,0.00,0.00,0.00,1.00,0.00,,,,
1000001640,40/SCRD,Bag,PV 80/20 NON-COMPACT,"5,622.42",0.00,0.00,0.00,0.00,"5,622.42",,,,
1000001640,40/SCRD,Bag,PV 80:20 ( MICRO),81.50,0.00,0.00,58.50,23.00,0.00,,,,
1000001640,40/SCRD,Bag,PVT-80:20,182.65,0.00,0.00,0.00,0.00,182.65,,,,
1000001640,40/SCRD,Bag,STM P-9688 SIRO (100% POLY)(BLACK/L-BLACK 50/50),37.99,0.00,0.00,0.00,0.00,37.99,,,,
1000001640,40/SCRD,Bag,STM P-9705 - SLUB,0.14,0.00,0.00,0.00,0.14,0.00,,,,
1000001640,40/SCRD,Bag,STM P-9735 SIRO (100% POLY)(BLACK/ROYAL BLUE 50/50),38.29,0.00,0.00,0.00,0.00,38.29,,,,
1000001640,40/SCRD,Bag,STM P-9736 SIRO (100% POLY)(BLACK/BLACK 50/50),38.22,0.00,0.00,0.00,0.00,38.22,,,,
1000001640,40/SCRD,Bag,VP 90/10,4.67,0.00,0.00,0.00,0.00,4.67,,,,
1000001660,40/SCMB,Bag,TENCEL/COTTON 50:50,1.33,0.00,0.00,0.00,0.00,1.33,,,,
1000001680,40/DCRD,Bag,100% ACR,"5,144.87",0.00,274.00,126.37,"4,744.50",0.00,,,,
1000001680,40/DCRD,Bag,AV 80/20 ( HIGH BULKY),148.00,0.00,0.00,0.00,10.00,138.00,,,,
1000001680,40/DCRD,Bag,MP/MV 80/20,1.60,1.60,0.00,0.00,0.00,0.00,,,,
1000001680,40/DCRD,Bag,PV 80:20,5.24,0.00,0.00,0.00,5.24,0.00,,,,
1000001680,40/DCRD,Bag,VP 90/10,48.32,0.00,0.00,0.00,0.00,48.32,,,,
1000001786,42/SCRD,Bag,MP/MV 75/25 (MICRO)  COMPACT,3.03,0.00,0.00,3.03,0.00,0.00,,,,
1000001786,42/SCRD,Bag,MP/MV 80/20 MICRO,4.00,0.00,0.00,0.00,4.00,0.00,,,,
1000001880,46/SCRD,Bag,100% MICRO POLYESTER,139.98,0.00,0.00,0.00,0.00,139.98,,,,
1000001880,46/SCRD,Bag,MP/MV 70/30 MICRO,1.00,1.00,0.00,0.00,0.00,0.00,,,,
1000001880,46/SCRD,Bag,PV 80/20 COMPACT,471.57,471.57,0.00,0.00,0.00,0.00,,,,
1000001880,46/SCRD,Bag,PV 80/20 COMPACT - U # 3,117.10,0.00,0.00,0.00,7.05,110.05,,,,
1000001880,46/SCRD,Bag,PV 80/20 NC,"2,124.25",325.95,427.96,0.00,0.90,"1,369.44",,,,
1000001880,46/SCRD,Bag,PV 80/20 SLUB,2.00,0.00,0.00,0.00,2.00,0.00,,,,
1000001880,46/SCRD,Bag,PV 80:20 MICRO/MICRO,387.50,0.00,387.50,0.00,0.00,0.00,,,,
1000001920,46/DCRD,Bag,PV 80:20,2.73,2.73,0.00,0.00,0.00,0.00,,,,
1000002040,50/SCRD,Bag,100% BAMBOO U # 1,50.00,0.00,0.00,0.00,0.00,50.00,,,,
1000002040,50/SCRD,Bag,100% MICRO POLYESTER,345.49,0.00,139.00,206.49,0.00,0.00,,,,
1000002040,50/SCRD,Bag,MICRO POLYESTER/ MICRO VISCOSE 70:30,96.00,0.00,96.00,0.00,0.00,0.00,,,,
1000002040,50/SCRD,Bag,MICRO POLYESTER/ MICRO VISCOSE 80:20,"1,120.00",0.00,1.00,385.00,734.00,0.00,,,,
1000002040,50/SCRD,Bag,MP/MB 70/30 MICRO COMPACT,177.00,45.00,132.00,0.00,0.00,0.00,,,,
1000002040,50/SCRD,Bag,MP/MT 70/30 MICRO COMPACT,149.00,0.00,149.00,0.00,0.00,0.00,,,,
1000002040,50/SCRD,Bag,MP/MV (70/30) S-TWIST H-T,49.00,49.00,0.00,0.00,0.00,0.00,,,,
1000002040,50/SCRD,Bag,MP/MV 70/30 MICRO COMPACT,408.50,408.50,0.00,0.00,0.00,0.00,,,,
1000002040,50/SCRD,Bag,PVT 65/35 MICRO COMPACT,45.00,0.00,45.00,0.00,0.00,0.00,,,,
1000002040,50/SCRD,Bag,TRI BLEND (MP/MB/MV 50/25/25) COMPACT,110.00,0.00,110.00,0.00,0.00,0.00,,,,
