KOHAT TEXTILE MILLS LIMITED,,,,,,,,,
,,,,,,,,,
On-Hand Inventory,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Item,,Item Name,,Configuration,Size ,Color ,Style,Warehouse,Qty
EL71502500,,RELAY,,GLASS,-/12V AC-8PIN,-,FINDER/-/-,KTM-MNSTR,1.00
EL71502500,,RELAY,,GLASS,-/12V AC-8PIN,-,OMRON/JAPAN/-,KTM-MNSTR,8.00
EL71502500,,RELAY,,GLASS,-/12V DC,-,-,KTM-MNSTR,14.00
EL71502500,,RELAY,,GLASS,-/220V AC-8 PIN/-,-,RELIANCE/-/-,KTM-MNSTR,6.00
EL71502500,,RELAY,,GLASS,-/24V DC-14PN,-,-/-/RT1N,KTM-MNSTR,15.00
EL71502500,,RELAY,,GLASS,-/5V DC-8PIN,-,RELIANCE/-/-,KTM-MNSTR,15.00
EL71502500,,RELAY,,GLASS,24V AC-14PIN,-,-,KTM-MNSTR,6.00
EL71502500,,RELAY,,GLASS,"30V DC, 8PIN, 5AMP",-,SCHNEIDER/FRANCE/-,KTM-MNSTR,5.00
EL71502500,,RELAY,,GLASS,GLASS HHC 68-4Z/220V -14PIN,-,-,KTM-MNSTR,20.00
EL71502500,,RELAY,,GLASS,MULTI MODE 110V AC-11PIN,-,-,KTM-MNSTR,9.00
EL71502500,,RELAY,,GLASS,M-Z/12V AC -50\60,-,REPOL/-/-,KTM-MNSTR,2.00
EL71502500,,RELAY,,GLASS,WITH BASE /8PIN-220V AC,-,OMRON/JAPAN/-,KTM-MNSTR,10.00
EL71502510,,RELAY FOC,,-,DUAL/-,-,-,KTM-MNSTR,1.00
EL71502510,,RELAY FOC,,-,WITH BED/BASE/8PIN 24V DC,-,FINDER/-/-,KTM-MNSTR,1.00
EL71502600,,CABLE,,-,-/3\.029-1 CORE,-,FAST CABLE/-/-,KTM-MNSTR,180.00
EL71502600,,CABLE,,-,-/7\.029 -1CORE,-,FAST CABLE/-/-,KTM-MNSTR,270.00
EL71502600,,CABLE,,-,CONTROL FLEXIBLE/120MMý-5 CORE,-,-,KTM-MNSTR,25.00
EL71502600,,CABLE,,-,CONTROL FLEXIBLE/165MMý-5 CORE,-,-,KTM-MNSTR,15.00
EL71502600,,CABLE,,COPPER,EARTH/10MM,-,-,KTM-MNSTR,150.00
EL71502600,,CABLE,,COPPER,EARTH/16MMý,-,-,KTM-MNSTR,298.00
EL71502600,,CABLE,,COPPER,EARTH/25MM-1 CORE,-,-,KTM-MNSTR,180.00
EL71502600,,CABLE,,CU/PVC/PVC,-/35MMý -4 CORE,-,PAKISTAN CABLE/-/-,KTM-MNSTR,91.00
EL71502600,,CABLE,,CU/PVC/PVC,CONTROL SHIELDED/1.5MM 4 CORE,-,-,KTM-MNSTR,250.00
EL71502600,,CABLE,,CU/PVC/PVC,FLEXIBLE/1.5MM 2CORE,-,PAKISTAN CABLE/-/-,KTM-MNSTR,270.00
EL71502600,,CABLE,,CU/PVC/PVC,-/6 MMý 4 CORE,-/BLACK,FAST CABLE/-/-,KTM-MNSTR,14.00
EL71502600,,CABLE,,CU/PVC/PVC,-/7\.029 -2CORE,-/BLACK,PAKISTAN CABLE/-/-,KTM-MNSTR,320.00
EL71502600,,CABLE,,CU/PVC/PVC,FLEXIBLE/1.5MM-4 CORE,-/GRAY,FAST CABLE/-/-,KTM-MNSTR,99.00
EL71502600,,CABLE,,CU/PVC/PVC,FLEXIBLE/1.5MMý 1 CORE,-/RED,PAKISTAN CABLE/-/-,KTM-MNSTR,90.00
EL71502600,,CABLE,,CU/PVC/PVC,FLEXIBLE/1.5MMý 1 CORE,BLACK,PAKISTAN CABLE/-/-,KTM-MNSTR,90.00
EL71502600,,CABLE,,PVC,-/16 MM 4CORE,-,PAKISTAN CABLE/-/-,KTM-MNSTR,96.00
EL71502600,,CABLE,,PVC,-/19\.083,-,-,KTM-MNSTR,8.00
